paragraph_id,Ins,Del,Sub,Shft,WdSh,NumEr,NumWd,TER,modality,language,translator
101               ,0,0,0,0,0,0,4,0.00,PE,NL,T3
102               ,1,2,6,0,0,9,22,40.91,PE,NL,T3
103               ,3,2,9,1,1,15,38,39.47,PE,NL,T3
104               ,1,0,3,0,0,4,7,57.14,PE,NL,T3
105               ,8,7,17,2,2,34,82,41.46,PE,NL,T3
106               ,0,0,0,0,0,0,3,0.00,PE,NL,T3
107               ,0,1,1,0,0,2,13,15.39,PE,NL,T3
108               ,2,0,5,0,0,7,15,46.67,PE,NL,T3
109               ,2,1,7,2,2,12,24,50.00,PE,NL,T3
110               ,0,1,5,1,1,7,14,50.00,PE,NL,T3
111               ,1,2,2,0,0,5,11,45.46,PE,NL,T3
112               ,1,0,4,1,1,6,15,40.00,PE,NL,T3
113               ,5,0,19,3,3,27,46,58.70,PE,NL,T3
114               ,0,3,8,0,0,11,35,31.43,PE,NL,T3
115               ,0,3,7,0,0,10,47,21.28,PE,NL,T3
116               ,0,3,3,0,0,6,13,46.15,PE,NL,T3
117               ,2,0,1,0,0,3,6,50.00,PE,NL,T3
118               ,1,1,12,1,1,15,28,53.57,PE,NL,T3
119               ,2,0,4,0,0,6,11,54.55,PE,NL,T3
120               ,1,0,5,0,0,6,12,50.00,PE,NL,T3
121               ,0,1,9,2,4,12,26,46.15,PE,NL,T3
122               ,0,3,7,1,1,11,18,61.11,PE,NL,T3
123               ,2,1,14,1,1,18,28,64.29,PE,NL,T3
